"Location","Revenue","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"National average","under 300 000","34.7","24.8","14.9","11.2","12.4","13.9","12.8","8.9","4.7","3.9"
"National average","300 001 - 500 000","24.7","20.8","17.6","16.8","16.6","18.1","16.5","14.2","12.5","10.5"
"National average","500 001 - 700 000","16.1","16.2","18.1","17","17","18.5","17.7","15","13.3","10.4"
"National average","700 001 - 900 000","9.6","12.2","14.3","14.3","14","14.3","14.3","13.7","13.8","11.8"
"National average","900 001 - 1 100 000","5.8","8.5","10.6","11","11.1","10.7","10.4","11.7","11.3","11.3"
"National average","1 100 001 - 1 600 000","5.8","10.2","14","16.2","16.5","15","15.5","19.1","20.8","21"
"National average","1 600 001 - 2 100 000","1.8","3.5","5.4","6.8","6.7","5.3","6.8","8.5","11.2","13.3"
"National average","2 100 001 and over","1.5","3.8","5.1","6.7","5.7","4.2","6","8.9","",""
"National average","2 100 001 - 3 000 000","","","","","","","","","7.8","10.8"
"National average","3 000 001 and over","","","","","","","","","4.6","7"
"Urban","under 300 000","24","15.9","7","6.2","7.7","8.4","8","5.1","2.6","1.8"
"Urban","300 001 - 500 000","26","19.8","14","12.1","13.2","15.4","13.2","11.3","9.4","7.1"
"Urban","500 001 - 700 000","18.6","17.7","18.8","15.9","15.7","18.6","16.9","13.1","11.4","8.6"
"Urban","700 001 - 900 000","11.8","14.1","15.9","15.2","15","15.6","14.9","13.7","13.5","10.7"
"Urban","900 001 - 1 100 000","7.3","10.2","12.6","13","13.1","12.1","11.8","12.7","11.6","11.3"
"Urban","1 100 001 - 1 600 000","7.8","12.6","17.9","19.9","19.9","18.1","18.8","22.3","23.6","22.9"
"Urban","1 600 001 - 2 100 000","2.4","4.6","7.1","8.8","8.3","6.6","8.8","10.5","12.8","15.2"
"Urban","2 100 001 and over","2.1","5.1","6.7","8.9","7.1","5.2","7.7","11.3","",""
"Urban","2 100 001 - 3 000 000","","","","","","","","","9.3","13.2"
"Urban","3 000 001 and over","","","","","","","","","5.8","9.2"
"Rural","under 300 000","54.9","41.8","28.3","20","21.2","25","21.4","15.9","8.9","8"
"Rural","300 001 - 500 000","22.3","22.9","23.7","25","22.9","23.5","22.3","19.5","18.6","17.1"
"Rural","500 001 - 700 000","11.2","13.2","16.9","18.8","19.3","18.3","19.2","18.4","16.9","13.8"
"Rural","700 001 - 900 000","5.2","8.5","11.6","12.8","12.2","11.6","13.4","13.6","14.4","13.8"
"Rural","900 001 - 1 100 000","3","5.3","7.2","7.7","7.4","7.8","8","9.8","10.7","11.3"
"Rural","1 100 001 - 1 600 000","2.2","5.5","7.3","9.7","10.3","8.8","9.5","13.3","15.3","17.5"
"Rural","1 600 001 - 2 100 000","0.7","1.5","2.6","3.3","3.7","2.7","3.2","5","8","9.6"
"Rural","2 100 001 and over","0.5","1.3","2.4","2.7","3","2.2","3","4.5","",""
"Rural","2 100 001 - 3 000 000","","","","","","","","","4.8","6.2"
"Rural","3 000 001 and over","","","","","","","","","2.4","2.7"
