Day,Beef without bones adj,Mutton adj
1/1/2011,5380,4205
2/1/2011,5396,4218
3/1/2011,5326,4163
4/1/2011,5299,4142
5/1/2011,5448,4258
6/1/2011,5595,4373
7/1/2011,5673,4434
8/1/2011,5679,4439
9/1/2011,5702,4456
10/1/2011,5679,4438
11/1/2011,5718,4470
12/1/2011,5793,4528
1/1/2012,5961,4659
2/1/2012,6116,4780
3/1/2012,6269,4900
4/1/2012,6281,4909
5/1/2012,6344,4959
6/1/2012,6363,4973
7/1/2012,6405,5006
8/1/2012,6495,5076
9/1/2012,6573,5137
10/1/2012,6586,5147
11/1/2012,6573,5137
12/1/2012,6619,5173
1/1/2013,6672,5215
2/1/2013,6752,5277
3/1/2013,6792,5309
4/1/2013,6840,5346
5/1/2013,6812,5325
6/1/2013,6778,5298
7/1/2013,6792,5309
8/1/2013,6955,5436
9/1/2013,7024,5490
10/1/2013,7137,5578
11/1/2013,7230,5651
12/1/2013,7352,5747
1/1/2014,7477,5844
2/1/2014,7552,5903
3/1/2014,7590,5932
4/1/2014,7651,5980
5/1/2014,7750,6058
6/1/2014,7789,6088
7/1/2014,7836,6124
8/1/2014,7891,6167
9/1/2014,7969,6229
10/1/2014,8033,6279
11/1/2014,8081,6316
12/1/2014,8130,6354
1/1/2015,8171,6386
2/1/2015,8187,6399
3/1/2015,8252,6450
4/1/2015,8318,6502
5/1/2015,8327,6508
6/1/2015,8335,6515
7/1/2015,8343,6521
8/1/2015,8352,6528
9/1/2015,8277,6469
10/1/2015,8186,6398
11/1/2015,8235,6436
12/1/2015,8218,6423
1/1/2016,8251,6449
2/1/2016,8317,6501
3/1/2016,8342,6520
4/1/2016,8467,6618
5/1/2016,8476,6625
6/1/2016,8433,6591
7/1/2016,8349,6525
8/1/2016,8299,6486
9/1/2016,8224,6428
10/1/2016,8125,6351
11/1/2016,8182,6395
12/1/2016,8256,6453
1/1/2017,8363,6537
2/1/2017,8430,6589
3/1/2017,8540,6675
4/1/2017,8668,6775
5/1/2017,8720,6815
6/1/2017,8659,6768
7/1/2017,8650,6761
8/1/2017,8763,6849
9/1/2017,8806,6883
10/1/2017,8842,6911
11/1/2017,8833,6904
12/1/2017,8859,6924
1/1/2018,9010,7042
2/1/2018,9073,7091
3/1/2018,9182,7177
4/1/2018,9237,7220
5/1/2018,9283,7256
6/1/2018,9348,7306
7/1/2018,9414,7358
8/1/2018,9329,7291
9/1/2018,9329,7291
10/1/2018,9441,7379
11/1/2018,9648,7541
12/1/2018,9716,7594
1/1/2019,9780,7644
2/1/2019,9843,7694
3/1/2019,9908,7744
