date,salary,pension
12/31/2008,37547.56092,43616.02673
3/31/2009,30640.04101,55241.52788
6/30/2009,43947.97785,46022.47222
9/30/2009,76677.81398,52476.63136
12/31/2009,51307.13591,43371.51284
3/31/2010,58950.04688,52612.07351
6/30/2010,92872.42111,46837.8652
9/30/2010,116903.3277,50185.77887
12/31/2010,111685.9479,62613.92135
3/31/2011,208644.8498,82509.17204
6/30/2011,189129.2121,70868.95772
9/30/2011,200803.0739,78438.66815
12/31/2011,184111.3335,82104.72254
3/31/2012,125826.652,86604.23971
6/30/2012,201097.6009,106784.039
9/30/2012,266785.4547,140655.3843
12/31/2012,163825.0076,107085.3613
3/31/2013,243377.2091,134893.937
6/30/2013,341254.944,110040.7085
9/30/2013,419334.5438,132942.375
12/31/2013,295090.4706,107207.0557
3/31/2014,291214.827,168927.7825
6/30/2014,245430.9958,110266.8622
9/30/2014,343718.3973,159263.2936
12/31/2014,303891.757,138653.2555
3/31/2015,284181.1118,181825.88
6/30/2015,248670.7094,189484.6088
9/30/2015,253540.5359,181103.5999
12/31/2015,215418.3943,154406.3194
3/31/2016,306680.5138,279158.9924
6/30/2016,141641.1897,308376.5626
9/30/2016,362982.8489,205921.1934
12/31/2016,343971.7617,209145.9672
3/31/2017,465774.8913,290745.6822
6/30/2017,486991.0554,213405.9441
9/30/2017,567726.9976,236546.8464
12/31/2017,451600.0453,203910.9725
3/31/2018,613012.6568,308064.9127
6/30/2018,703921.5958,254017.37
9/30/2018,776620.1622,315254.3989
